,source,dest,count
0,AAE,ALG,1
1,AAE,CDG,1
2,AAE,IST,1
3,AAE,LYS,1
4,AAE,MRS,2
5,AAE,ORN,1
6,AAE,ORY,2
7,AAL,AAR,1
8,AAL,AGP,1
9,AAL,ALC,1
10,AAL,AMS,2
11,AAL,ARN,1
12,AAL,BCN,2
13,AAL,BLL,3
14,AAL,CPH,2
15,AAL,IST,1
16,AAL,LGW,1
17,AAL,OSL,3
18,AAL,PMI,1
19,AAL,SVG,1
20,AAN,CCJ,1
21,AAN,PEW,1
22,AAQ,DME,1
23,AAQ,LED,1
24,AAQ,SVO,1
25,AAR,AAL,1
26,AAR,AGP,1
27,AAR,BMA,1
28,AAR,CPH,1
29,AAR,GOT,1
30,AAR,OSL,1
31,AAR,PMI,1
32,AAR,STN,1
33,AAT,URC,2
34,AAX,POJ,1
35,AAY,SAH,1
36,ABA,DME,1
37,ABA,IKT,1
38,ABA,NSK,1
39,ABA,SVO,1
40,ABB,ABV,1
41,ABB,LOS,1
42,ABD,MHD,2
43,ABD,SYZ,1
44,ABD,THR,3
45,ABE,ATL,3
46,ABE,CLT,2
47,ABE,DTW,1
48,ABE,MYR,1
49,ABE,ORD,1
50,ABE,PGD,1
51,ABE,PHL,2
52,ABE,PIE,1
53,ABE,SFB,1
54,ABI,DFW,2
55,ABJ,ACC,7
56,ABJ,ALG,1
57,ABJ,BKO,2
58,ABJ,BOY,1
59,ABJ,BRU,4
60,ABJ,CDG,2
61,ABJ,CKY,2
62,ABJ,CMN,1
63,ABJ,COO,3
64,ABJ,DKR,3
65,ABJ,DLA,1
66,ABJ,FNA,1
67,ABJ,IST,1
68,ABJ,LBV,1
69,ABJ,LFW,5
70,ABJ,LOS,4
71,ABJ,NBO,1
72,ABJ,ORY,1
73,ABJ,OUA,7
74,ABJ,ROB,1
75,ABJ,TUN,1
76,ABL,OTZ,2
77,ABL,SHG,2
78,ABM,CNS,1
79,ABQ,ATL,5
80,ABQ,BWI,1
81,ABQ,CNM,1
82,ABQ,DAL,1
83,ABQ,DEN,3
84,ABQ,DFW,2
85,ABQ,HOU,1
86,ABQ,IAH,1
87,ABQ,JFK,1
88,ABQ,LAM,1
89,ABQ,LAS,2
90,ABQ,LAX,5
91,ABQ,MCI,2
92,ABQ,MDW,2
93,ABQ,MSP,1
94,ABQ,OAK,1
95,ABQ,ORD,3
96,ABQ,PDX,2
97,ABQ,PHX,3
98,ABQ,SAN,1
99,ABQ,SEA,1
100,ABQ,SFO,1
101,ABQ,SLC,1
102,ABR,MSP,1
103,ABS,ASW,1
104,ABT,DMM,1
105,ABT,JED,1
106,ABT,RUH,1
107,ABV,ABB,1
108,ABV,ACC,1
109,ABV,ADD,1
110,ABV,BNI,1
111,ABV,CAI,1
112,ABV,CBQ,1
113,ABV,CDG,3
114,ABV,COO,1
115,ABV,ENU,1
116,ABV,FRA,1
117,ABV,GMO,1
118,ABV,IBA,1
119,ABV,ILR,1
120,ABV,KAN,1
121,ABV,LFW,1
122,ABV,LHR,1
123,ABV,LOS,1
124,ABV,NDJ,1
125,ABV,NIM,1
126,ABV,PHC,4
127,ABV,QOW,1
128,ABV,QRW,1
129,ABV,SKO,1
130,ABV,SSG,1
131,ABV,YOL,1
132,ABX,MEL,1
133,ABX,SYD,3
134,ABY,ATL,4
135,ABZ,AMS,1
136,ABZ,BGO,2
137,ABZ,BHD,1
138,ABZ,BHX,1
139,ABZ,BRS,1
140,ABZ,CDG,3
141,ABZ,CPH,1
142,ABZ,DUB,1
143,ABZ,EBJ,1
144,ABZ,EMA,1
145,ABZ,FRA,1
146,ABZ,HUY,1
147,ABZ,KOI,1
148,ABZ,KSU,1
149,ABZ,LBA,1
150,ABZ,LCY,1
151,ABZ,LGW,1
152,ABZ,LHR,5
